Time_Period,t2m,msl,d2m,si10,tp,ptype,kx,sp,skt,ws_100m,tcc,lcc,mcc,hcc,cbh,z,tcw,tcwv,blh,bld,zust,slhf,ssr,str,tsr,ttr,tisr,z at 1000 hPa,z at 950 hPa,z at 900 hPa,z at 850 hPa,z at 800 hPa,z at 750 hPa,z at 700 hPa,z at 650 hPa,z at 600 hPa,z at 550 hPa,z at 500 hPa,cc at 1000 hPa,cc at 950 hPa,cc at 900 hPa,cc at 850 hPa,cc at 800 hPa,cc at 750 hPa,cc at 700 hPa,cc at 650 hPa,cc at 600 hPa,cc at 550 hPa,cc at 500 hPa,d at 1000 hPa,d at 950 hPa,d at 900 hPa,d at 850 hPa,d at 800 hPa,d at 750 hPa,d at 700 hPa,d at 650 hPa,d at 600 hPa,d at 550 hPa,d at 500 hPa,pv at 1000 hPa,pv at 950 hPa,pv at 900 hPa,pv at 850 hPa,pv at 800 hPa,pv at 750 hPa,pv at 700 hPa,pv at 650 hPa,pv at 600 hPa,pv at 550 hPa,pv at 500 hPa,q at 1000 hPa,q at 950 hPa,q at 900 hPa,q at 850 hPa,q at 800 hPa,q at 750 hPa,q at 700 hPa,q at 650 hPa,q at 600 hPa,q at 550 hPa,q at 500 hPa,r at 1000 hPa,r at 950 hPa,r at 900 hPa,r at 850 hPa,r at 800 hPa,r at 750 hPa,r at 700 hPa,r at 650 hPa,r at 600 hPa,r at 550 hPa,r at 500 hPa,t at 1000 hPa,t at 950 hPa,t at 900 hPa,t at 850 hPa,t at 800 hPa,t at 750 hPa,t at 700 hPa,t at 650 hPa,t at 600 hPa,t at 550 hPa,t at 500 hPa,w at 1000 hPa,w at 950 hPa,w at 900 hPa,w at 850 hPa,w at 800 hPa,w at 750 hPa,w at 700 hPa,w at 650 hPa,w at 600 hPa,w at 550 hPa,w at 500 hPa,vo at 1000 hPa,vo at 950 hPa,vo at 900 hPa,vo at 850 hPa,vo at 800 hPa,vo at 750 hPa,vo at 700 hPa,vo at 650 hPa,vo at 600 hPa,vo at 550 hPa,vo at 500 hPa,BA,LST,NDVI,CEE,CER,CF,COT,CTP,CTT,CWP,AOD_055
May-00,289.94412,100831.16,283.8951,1.5042433,0.003516577,0.98882836,14.47747,78774.78,290.24252,0.092204485,0.46193355,0.22371775,0.17193952,0.25097123,1733.4604,21735.475,22.224276,22.113106,446.6379,181004.72,0.08699422,-6868793,17744650,-5788588.5,27364722,-21781682,39940576,686.5504,5001.1587,9554.62,14357.205,19434.172,24793.59,30459.45,36470.598,42877.23,49742.06,57139.41,0.0616058,0.0616058,0.06311182,0.068947665,0.07939571,0.09346762,0.097609185,0.09116152,0.08108999,0.061135165,0.031650037,2.66E-06,2.26E-06,-3.57E-06,-6.52E-06,-4.90E-06,1.06E-06,6.34E-06,9.65E-06,1.06E-05,1.04E-05,4.97E-06,2.99E-06,2.83E-06,2.72E-06,2.47E-06,2.11E-06,2.10E-06,2.12E-06,2.04E-06,1.77E-06,9.49E-07,6.64E-07,0.010211727,0.010098051,0.009913188,0.00961326,0.008986183,0.008184045,0.007003828,0.005679416,0.004350652,0.003091751,0.001940792,65.80596,65.314865,65.504486,66.189354,67.07192,68.70162,67.55651,63.99861,57.757755,49.040634,40.248425,302.62393,299.94806,297.14252,294.1159,290.9689,287.6197,284.07736,280.3438,276.4313,272.30884,267.62045,0.04902689,0.049504362,0.031922285,-0.000565908,-0.04828793,-0.07181795,-0.057962693,-0.022166321,0.008996539,0.038192842,0.06813435,-6.01E-06,-1.23E-05,-6.18E-06,9.39E-06,2.78E-05,4.21E-05,4.85E-05,5.06E-05,5.03E-05,4.48E-05,3.52E-05,0,296.7344372,0.413427204,54.30132232,1349.080176,4049.906356,1354.288462,5322.749644,11579.99294,121.7620014,0.374429212
Jun-00,290.68176,100572.94,287.804,1.2630011,0.014736681,1.220631,19.998034,78596.55,291.1412,0.371994572,0.6778991,0.43616623,0.31906626,0.43358272,755.2141,21735.475,30.966988,30.596571,315.6356,150443.06,0.08042987,-7238727.5,14327117,-3893986.2,25270580,-20162520,40995692,472.72168,4779.966,9326.105,14122.922,19198.479,24563.293,30243.404,36279.29,42721.7,49632.836,57095.477,0.13060053,0.13248305,0.14006025,0.15055534,0.17083961,0.19446535,0.19319466,0.18213479,0.17907567,0.16810994,0.13982493,5.66E-06,5.99E-06,1.01E-06,-3.11E-06,-3.68E-06,-2.25E-06,-3.25E-07,8.63E-07,5.57E-07,2.59E-06,4.92E-06,8.55E-07,7.64E-07,7.44E-07,6.49E-07,6.35E-07,7.43E-07,7.97E-07,8.69E-07,9.07E-07,7.67E-07,7.39E-07,0.013320104,0.013186218,0.012913167,0.012491809,0.01162354,0.010464859,0.009078722,0.007641845,0.006311341,0.005107817,0.003870301,83.21443,82.74385,82.880226,83.247185,83.41393,82.97413,80.48816,76.55347,72.68197,68.69985,62.668716,301.7552,299.14532,296.4393,293.6374,290.78735,287.87177,284.79523,281.50104,277.87854,274.04822,270.08887,-0.011194033,-0.009427266,-0.01509956,-0.039938193,-0.075402625,-0.101481296,-0.123975895,-0.13892406,-0.14797866,-0.15918879,-0.14667182,-4.96E-06,-1.23E-05,-1.02E-05,3.03E-06,1.87E-05,3.03E-05,3.46E-05,3.40E-05,2.99E-05,2.42E-05,1.67E-05,0,295.0164231,0.432909256,63.30627866,1519.145315,6291.686229,1967.468713,4458.69443,10793.68511,202.921165,0.34020146
Jul-00,291.6592,100507.516,289.68637,1.1575922,0.013204551,1.1175243,23.388733,78575.09,292.13605,0.822968481,0.88389754,0.5556385,0.4473982,0.6882048,408.82623,21735.475,37.01851,36.64252,277.18314,67512.83,0.079729415,-6667362.5,12129052,-3014134.8,23162768,-18279078,40268468,418.42398,4723.8135,9268.125,14064.078,19141.701,24513.967,30208.623,36266.797,42739.71,49689.69,57199.113,0.16768637,0.17079255,0.18589985,0.199407,0.22218561,0.23522215,0.22642131,0.21060805,0.20392507,0.23931664,0.22773908,6.15E-06,4.87E-06,1.45E-06,-9.79E-08,-1.27E-07,2.45E-07,3.93E-07,1.32E-06,2.53E-06,6.78E-06,1.00E-05,-1.59E-07,-1.73E-07,-1.12E-07,-9.43E-08,-3.14E-09,8.96E-08,1.35E-07,2.56E-07,3.59E-07,4.98E-07,6.34E-07,0.01465533,0.014540068,0.014253778,0.013783918,0.012921987,0.011773146,0.010503049,0.009165664,0.0078288,0.006619039,0.00533283,88.88091,88.68235,89.11704,89.33548,89.68235,88.78904,86.97067,84.4449,81.91031,81.663155,77.92617,301.49048,298.9357,296.28516,293.60672,290.92624,288.2995,285.51706,282.4962,279.13794,275.40015,271.70874,-0.06298122,-0.06341208,-0.07332467,-0.090275995,-0.11026486,-0.11906416,-0.1414758,-0.15949251,-0.1629792,-0.13719265,-0.10446351,-7.86E-06,-1.75E-05,-2.23E-05,-1.80E-05,-1.08E-05,-5.20E-06,-1.74E-06,2.89E-07,1.43E-06,1.42E-06,-4.33E-06,0,292.9056692,0.503577471,62.09300207,1670.663138,8450.995033,1956.109003,3351.418409,9522.077386,215.8462105,0.245100618
Aug-00,291.49136,100681.1,289.34177,1.1641899,0.010968312,1.127634,20.508177,78706.35,292.06586,0.707666874,0.7528348,0.5287123,0.30629575,0.4549568,420.11267,21735.475,32.778557,32.484833,287.26764,71678.43,0.078387454,-7249742.5,13428255,-3560289.5,23596242,-20524864,37707504,563.4723,4868.6006,9411.831,14206.103,19280.465,24647.723,30337.076,36390.035,42856.926,49798.94,57296.09,0.15323795,0.1553558,0.17399284,0.18834715,0.21239646,0.22402108,0.20486633,0.17502823,0.15403803,0.14373118,0.11798757,3.72E-06,2.73E-06,-5.40E-07,-1.96E-06,-9.19E-07,1.46E-06,3.10E-06,4.89E-06,4.87E-06,6.50E-06,5.83E-06,4.34E-07,3.79E-07,3.61E-07,3.01E-07,3.56E-07,4.38E-07,4.58E-07,5.09E-07,5.41E-07,5.91E-07,6.60E-07,0.014255452,0.014115427,0.013832661,0.013339445,0.012469635,0.01129928,0.009896683,0.008372707,0.006874282,0.005481273,0.004032901,87.46523,87.10785,87.56237,87.68913,88.05786,86.8129,83.37543,78.378426,73.09644,68.62123,60.99544,301.3139,298.75775,296.0961,293.4105,290.7005,288.0643,285.33185,282.35214,278.98376,275.23273,271.32788,-0.059803113,-0.06145813,-0.072465755,-0.09078642,-0.11244204,-0.119439766,-0.12794982,-0.12755287,-0.11288874,-0.09126097,-0.063636675,-2.25E-06,-4.75E-06,6.60E-07,9.36E-06,1.51E-05,1.76E-05,1.84E-05,1.75E-05,1.46E-05,9.93E-06,3.97E-06,0,293.9677478,0.475712629,57.04964822,1495.245868,7131.377188,1643.428268,3933.434234,10046.64905,160.618057,0.237322784
Sep-00,289.1597,101068.71,285.95944,1.2099392,0.004364473,1.192202,13.084956,78940.75,289.66867,0.521709327,0.41736868,0.31981522,0.16563599,0.100539975,770.26746,21735.475,22.830198,22.723072,327.40314,75856.016,0.07455006,-7623068.5,15638021,-5489930,23925884,-22891758,33340558,884.37866,5185.039,9719.045,14499.392,19550.932,24884.951,30529.145,36523.344,42917.164,49771.766,57164.387,0.096056096,0.09600904,0.10358622,0.108480796,0.117234565,0.12142319,0.11210467,0.10396273,0.0969503,0.07059488,0.044121798,4.69E-06,3.81E-06,1.73E-06,2.81E-06,3.72E-06,4.29E-06,4.95E-06,5.03E-06,3.50E-06,4.28E-06,3.14E-06,1.50E-06,1.25E-06,1.09E-06,7.55E-07,5.68E-07,5.84E-07,5.41E-07,5.52E-07,5.75E-07,5.60E-07,5.99E-07,0.011619804,0.011448159,0.011149303,0.01047496,0.009493999,0.008322917,0.007010127,0.005658064,0.004438154,0.003304298,0.002220506,79.66434,78.64029,78.54165,76.90351,75.3882,73.426865,69.45315,63.71508,57.710762,50.80737,42.851917,300.61838,297.95126,295.18643,292.35645,289.44095,286.40018,283.18417,279.73376,275.97006,271.94833,267.59085,-0.003482278,-0.007027362,-0.01884117,-0.026122702,-0.039602086,-0.033809856,-0.026609467,-0.023885462,-0.023201598,-0.024115127,-0.002522813,7.51E-07,2.72E-06,1.27E-05,2.26E-05,2.90E-05,3.11E-05,2.95E-05,2.59E-05,2.08E-05,1.61E-05,1.35E-05,0,293.8082064,0.582440379,58.70101765,1635.198799,4818.76225,1476.504289,5556.77695,11852.97259,160.5785367,0.189212612
Oct-00,286.4024,101423.695,280.9766,1.2787638,0.00060502,0.8033388,-2.4180303,79170.15,286.5767,0.393536227,0.17268375,0.13469356,0.07109382,0.009972446,1067.8871,21735.475,13.67724,13.645413,362.53345,176220.12,0.069718875,-5693489.5,15360623,-7234709.5,21381070,-23622612,27696818,1177.908,5473.53,9997.142,14761.497,19788.24,25091.336,30701.217,36658.848,43012.188,49818.65,57146.367,0.03153238,0.030355798,0.030355798,0.028755648,0.03285015,0.04729857,0.054028615,0.0491811,0.042592242,0.024661144,0.011907003,4.90E-06,3.39E-06,3.28E-07,1.40E-06,3.23E-06,4.92E-06,7.11E-06,8.92E-06,8.21E-06,8.28E-06,7.96E-06,4.39E-06,3.70E-06,3.36E-06,2.66E-06,2.14E-06,2.07E-06,1.93E-06,1.72E-06,1.34E-06,7.17E-07,5.19E-07,0.008400423,0.00818415,0.007923047,0.007344763,0.006538696,0.005525484,0.004312396,0.003150056,0.002138967,0.001287901,0.000674394,65.82114,63.503506,62.90164,60.9878,59.04159,56.212326,50.069805,42.22682,33.619946,24.545488,17.525768,299.82846,297.0874,294.22604,291.21854,288.1627,285.01218,281.788,278.32346,274.483,270.16284,265.17847,0.05554645,0.05033547,0.03462339,0.027491145,0.004046727,0.015968323,0.032987066,0.05046387,0.07253028,0.09930937,0.1362713,8.92E-10,3.75E-06,1.35E-05,2.10E-05,2.67E-05,3.10E-05,3.37E-05,3.54E-05,3.73E-05,3.85E-05,3.52E-05,0,294.2046738,0.506753973,44.2413374,1448.425196,1499.95443,955.5402224,6897.271858,12941.93105,81.84419719,0.175271537
Nov-00,281.1045,101728.71,275.5427,1.2912927,0.000873566,1.1121002,-4.5158186,79260.04,280.12003,0.525453626,0.29189783,0.13229187,0.1553113,0.105460845,2447.6646,21735.475,10.146832,10.103024,294.4568,352534.56,0.06435246,-3474355.8,11395405,-6716831.5,16059947,-21414470,22417284,1424.6031,5699.0405,10187.324,14903.614,19868.227,25098.691,30624.668,36484.598,42724.402,49400.336,56583.242,0.034214985,0.03237952,0.03237952,0.03172063,0.0358622,0.046780873,0.052051958,0.05191077,0.047816265,0.038544804,0.043415852,5.96E-06,5.77E-06,4.37E-06,5.26E-06,5.66E-06,5.48E-06,5.39E-06,5.29E-06,2.16E-06,-1.39E-07,1.44E-06,6.63E-06,5.72E-06,5.30E-06,4.36E-06,3.63E-06,3.46E-06,3.26E-06,3.05E-06,2.32E-06,9.93E-07,6.39E-07,0.005971134,0.005800624,0.005590404,0.005104518,0.004436761,0.003715336,0.00284475,0.002078956,0.001506779,0.001082137,0.00073394,64.107376,61.526455,60.68104,57.794956,55.085056,53.13282,48.086163,42.40748,37.80167,34.639374,32.98365,296.26065,293.44473,290.50226,287.44965,284.28223,280.8909,277.37225,273.57465,269.4178,264.87167,259.9139,0.11460865,0.104977734,0.09510147,0.09119043,0.06530075,0.06986948,0.06664739,0.061557412,0.040418267,0.005899705,0.003570392,4.58E-06,1.24E-05,1.71E-05,1.69E-05,1.62E-05,1.67E-05,1.92E-05,2.53E-05,3.75E-05,5.55E-05,6.41E-05,1.375605349,288.157679,0.461254225,54.55680162,1236.013306,3835.182744,2291.510922,6383.853204,11830.36463,184.8972486,0.177994674
Dec-00,277.3907,101797.07,269.97748,1.3411907,0.000331074,0.8142678,-18.597694,79270.6,274.4511,0.537592292,0.21508044,0.0663204,0.08708485,0.12714027,2516.2598,21735.475,6.3676662,6.336114,176.91849,505531.8,0.058528244,-2517654,9970910,-6913223.5,13728028,-20849846,19798336,1478.4215,5738.979,10207.142,14902.241,19846.883,25060.834,30570.973,36413.035,42631.2,49281.176,56436.492,0.02936747,0.025884788,0.025790663,0.024567017,0.024567017,0.02616717,0.031814758,0.036097515,0.03788592,0.02546122,0.022919804,1.55E-06,2.48E-06,5.17E-06,6.32E-06,4.93E-06,3.71E-06,5.39E-06,6.19E-06,2.15E-06,-1.25E-06,2.90E-06,1.21E-05,1.10E-05,1.05E-05,9.02E-06,7.52E-06,7.13E-06,6.63E-06,6.09E-06,4.95E-06,1.38E-06,6.67E-07,0.00423135,0.004127066,0.003859905,0.003253797,0.002541881,0.002032722,0.001556809,0.001169869,0.000882881,0.000672062,0.000469126,56.456154,53.6758,51.15154,44.31839,37.943398,35.248283,32.25939,29.342327,26.678667,23.701736,22.255957,294.4324,291.6594,288.92474,286.20255,283.40732,280.2021,276.67612,272.7584,268.4683,263.9053,258.93756,0.22059062,0.2006051,0.19375432,0.19552362,0.16418108,0.16450076,0.15100574,0.14771433,0.1196377,0.07593857,0.06303453,8.05E-06,1.86E-05,2.18E-05,2.48E-05,2.59E-05,2.61E-05,2.89E-05,3.79E-05,5.00E-05,6.69E-05,6.90E-05,2.147776906,285.1190996,0.438166867,45.58520322,1585.478149,3195.184889,3925.026581,6407.782483,11631.4625,388.6695223,0.158143421
Jan-01,274.72876,101634.89,268.1794,1.4019104,0.00099752,1.1496552,-14.946436,79032.73,272.1196,0.537723498,0.23746473,0.13120499,0.13353941,0.05153904,1694.0459,21735.475,6.2420244,6.201896,205.70732,884179.7,0.061949108,-2702422.8,10136070,-6444713,14165078,-20524084,21308466,1338.975,5585.0044,10030.341,14694.723,19601.49,24770.621,30228.398,36009.38,42157.113,48727.805,55796.797,0.052193146,0.048286896,0.04875753,0.045886673,0.04485128,0.048945785,0.051816642,0.052475527,0.055675827,0.055064008,0.049981173,1.89E-06,3.24E-06,6.24E-06,7.52E-06,4.55E-06,1.69E-06,1.21E-06,-9.62E-07,-6.92E-06,-1.02E-05,4.50E-07,1.11E-05,1.02E-05,9.75E-06,8.59E-06,6.99E-06,6.54E-06,6.00E-06,5.36E-06,4.39E-06,1.55E-06,7.37E-07,0.003963814,0.003899504,0.003668143,0.003137722,0.002435233,0.001924954,0.001489559,0.001163763,0.000924317,0.000706709,0.00048132,62.09409,60.036602,57.952213,51.66389,44.442135,41.28443,38.31186,36.155396,35.05601,33.156948,31.222885,291.76794,288.98987,286.26883,283.50705,280.6355,277.3506,273.6866,269.6235,265.26956,260.6341,255.86324,0.20900473,0.19404735,0.18944587,0.19403012,0.16465221,0.14997056,0.11602707,0.07887894,0.009936264,-0.0850818,-0.12809989,9.62E-06,2.08E-05,1.95E-05,1.76E-05,1.68E-05,1.69E-05,2.24E-05,3.47E-05,5.11E-05,7.46E-05,8.77E-05,4.766227516,282.7171451,0.425822241,54.33567121,1173.548808,3855.187447,2352.59171,6364.633751,11482.17747,183.8748351,0.157793601
Feb-01,277.73862,101527.93,270.20694,1.5327656,0.001277579,1.2967852,-11.453737,78988.625,275.7178,0.549854424,0.28668222,0.12398171,0.14321862,0.122416854,2387.5046,21735.475,7.040294,6.9926376,316.9282,690628.94,0.07346506,-3459288.2,12587249,-6998380.5,17618500,-20544342,25998952,1255.144,5518.2354,9988.012,14678.858,19610.555,24800.375,30274.49,36069.32,42229.59,48811,55888.41,0.058217242,0.057981927,0.057981927,0.056899473,0.05671122,0.060570408,0.06617093,0.068712346,0.06923004,0.056617092,0.046074923,3.55E-06,6.01E-06,6.74E-06,7.11E-06,4.36E-06,1.92E-06,5.73E-07,-9.90E-07,-5.80E-06,-9.71E-06,-8.68E-07,9.30E-06,8.39E-06,7.79E-06,6.74E-06,5.69E-06,5.40E-06,5.09E-06,4.76E-06,3.95E-06,1.39E-06,6.85E-07,0.004159828,0.004038695,0.00384558,0.003431353,0.002883361,0.002416543,0.001923957,0.001455277,0.001087841,0.000793767,0.000522362,58.24155,55.88679,54.457104,51.046227,47.53308,46.735577,44.861065,41.72553,38.710697,35.04055,31.913889,293.95944,291.1322,288.2598,285.18622,281.936,278.2889,274.37476,270.2042,265.75766,261.01016,256.103,0.16562495,0.15883091,0.15609317,0.16296038,0.13662414,0.120089576,0.097872965,0.068367094,-0.001793448,-0.08986303,-0.1352925,9.67E-06,2.18E-05,2.29E-05,2.01E-05,1.81E-05,1.82E-05,2.25E-05,3.32E-05,4.91E-05,7.10E-05,8.13E-05,8.5761335,286.6562163,0.40122753,48.47159997,1451.040411,3601.430753,1810.883038,6105.010525,11259.89829,175.3165447,0.176882607
